"ID","treeID","creatorID","specID","height","DBH","plot","level"
935,"r00849","SBSF","BUR",27,0.09,"fs-015",6
936,"r00850","SBSF","BUR",27,0.1,"fs-015",6
937,"r00851","SBSF","BUR",27,0.22,"fs-015",6
938,"r00852","jk","EIT",NA,0.37,"fs-010",NA
939,"r00854","SBSF","BUR",27,0.08,"fs-015",6
940,"r00855","SBSF","BUR",27,0.13,"fs-015",6
941,"r00856","SBSF","BUR",27,0.13,"fs-015",6
942,"r00857","SBSF","BUR",27,0.16,"fs-015",6
943,"r00858","SBSF","BUR",27,0.13,"fs-015",6
944,"r00859","SBSF","BUR",27,0.09,"fs-015",6
945,"r00860","jk","BUR",NA,0.35,"fs-006",NA
946,"r00861","dg","EIT",NA,0.48,"dm-002",NA
947,"r00862","SBSF","BUR",27,0.13,"fs-015",6
948,"r00863","SBSF","BUR",27,0.13,"fs-015",6
949,"r00864","SBSF","BUR",27,0.16,"fs-015",6
950,"r00865","SBSF","BUR",27,0.1,"fs-015",6
951,"r00866","SBSF","BUR",27,0.17,"fs-015",6
952,"r00867","SBSF","BUR",27,0.13,"fs-015",6
953,"r00868","SBSF","BUR",27,0.16,"fs-015",6
954,"r00869","jk","HBU",12,0.18,"fs-027",3
955,"r00871","jk","BUR",NA,0.23,"fs-010",NA
956,"r00872","jk","BUR",9,0.14,"fs-027",2
957,"r00873","SBSF","BUR",27,0.19,"fs-015",6
958,"r00874","SBSF","BUR",27,0.1,"fs-015",6
959,"r00875","SBSF","BUR",27,0.18,"fs-015",6
960,"r00876","SBSF","BUR",27,0.16,"fs-015",6
961,"r00877","SBSF","BUR",27,0.6,"fs-014",6
962,"r00878","SBSF","HBU",27,0.08,"fs-014",6
963,"r00879","SBSF","BUR",27,0.15,"fs-014",6
964,"r00880","SBSF","BUR",27,0.12,"fs-014",6
965,"r00881","SBSF","BUR",27,0.13,"fs-014",6
966,"r00882","SBSF","BUR",27,0.11,"fs-014",6
967,"r00883","SBSF","BUR",27,0.16,"fs-014",6
968,"r00884","SBSF","HBU",27,0.08,"fs-014",6
969,"r00886","SBSF","BUR",27,0.1,"fs-014",6
970,"r00887","SBSF","BUR",27,0.1,"fs-014",6
971,"r00888","SBSF","HBU",27,0.11,"fs-014",6
972,"r00889","dg","BUR",NA,0.76,"fs-031",NA
973,"r00890","SBSF","HBU",27,0.08,"fs-014",6
974,"r00891","SBSF","HBU",27,0.11,"fs-014",6
975,"r00892","SBSF","HBU",27,0.1,"fs-014",6
976,"r00894","SBSF","HBU",27,0.12,"fs-014",6
977,"r00895","SBSF","HBU",27,0.09,"fs-014",6
978,"r00896","SBSF","HBU",27,0.11,"fs-014",6
979,"r00897","SBSF","BUR",27,0.08,"fs-014",6
980,"r00898","SBSF","HBU",27,0.08,"fs-014",6
981,"r00899","SBSF","HBU",27,0.11,"fs-014",6
982,"r00900","SBSF","HBU",27,0.07,"fs-014",6
983,"r00902","SBSF","HBU",27,0.08,"fs-014",6
984,"r00903","SBSF","HBU",27,0.1,"fs-014",6
985,"r00905","SBSF","HBU",27,0.1,"fs-014",6
986,"r00906","SBSF","BUR",27,0.13,"fs-014",6
988,"r00908","SBSF","BUR",27,0.11,"fs-014",6
989,"r00909","SBSF","HBU",27,0.09,"fs-014",6
990,"r00910","SBSF","HBU",27,0.09,"fs-014",6
991,"r00912","SBSF","HBU",27,0.07,"fs-014",6
992,"r00913","SBSF","HBU",27,0.1,"fs-014",6
993,"r00914","SBSF","HBU",27,0.09,"fs-014",6
994,"r00915","dg","BUR",NA,0.08,"fs-006",NA
995,"r00917","SBSF","HBU",27,0.09,"fs-014",6
996,"r00918","SBSF","BUR",27,0.1,"fs-014",6
997,"r00919","SBSF","HBU",27,0.08,"fs-014",6
998,"r00920","GHKLRRS","BUR",23.5,0.4,"fs-018",5
999,"r00921","GHKLRRS","EIT",20.7,0.35,"fs-018",5
1000,"r00922","GHKLRRS","BUR",12.9,0.14,"fs-018",3
1001,"r00923","GHKLRRS","BUR",9.2,0.13,"fs-018",2
1002,"r00924","GHKLRRS","EIT",20.6,0.29,"fs-018",5
1003,"r00925","GHKLRRS","HBU",11.8,0.12,"fs-018",3
1004,"r00926","GHKLRRS","BUR",24.4,0.35,"fs-018",5
1005,"r00927","GHKLRRS","BUR",25.9,0.49,"fs-018",6
1006,"r00928","GHKLRRS","BUR",6.6,0.14,"fs-018",2
1007,"r00929","GHKLRRS","BUR",17.3,0.2,"fs-018",4
1008,"r00930","GHKLRRS","BUR",17.9,0.25,"fs-018",4
1009,"r00931","GHKLRRS","BUR",14.7,0.17,"fs-018",3
1010,"r00932","GHKLRRS","BUR",20.2,0.3,"fs-018",5
1011,"r00933","GHKLRRS","BUR",24.7,0.39,"fs-018",5
1012,"r00934","GHKLRRS","BUR",17,0.22,"fs-019",4
1013,"r00935","GHKLRRS","EIT",21.7,0.43,"fs-019",5
1014,"r00936","GHKLRRS","HBU",9.9,0.19,"fs-019",2
1015,"r00937","GHKLRRS","EIT",23.9,0.41,"fs-019",5
1016,"r00938","GHKLRRS","BUR",11.8,0.22,"fs-019",3
1017,"r00939","GHKLRRS","BUR",14.8,0.21,"fs-019",3
1018,"r00940","GHKLRRS","BUR",22.1,0.41,"fs-019",5
1019,"r00941","GHKLRRS","EIT",22.2,0.51,"fs-019",5
1020,"r00942","GHKLRRS","BUR",6.8,0.23,"fs-019",2
1021,"r00943","GHKLRRS","BUR",10.4,0.16,"fs-019",3
1022,"r00944","GHKLRRS","HBU",11.9,0.19,"fs-019",3
1023,"r00945","GHKLRRS","EIT",22.5,0.41,"fs-019",5
1024,"r00946","SBSF","BUR",25.8,0.35,"fs-009",6
1025,"r00947","SBSF","BUR",22.3,0.35,"fs-009",5
1026,"r00948","SBSF","BUR",11.3,0.21,"fs-009",3
1027,"r00949","SBSF","BUR",25.8,0.29,"fs-009",6
1028,"r00950","SBSF","EIT",32.7,0.48,"fs-009",7
1029,"r00951","SBSF","EIT",35.4,0.45,"fs-009",8
1030,"r00952","SBSF","BUR",24.8,0.19,"fs-009",5
1031,"r00953","SBSF","EIT",37,0.51,"fs-009",8
1032,"r00954","SBSF","EIT",34.3,0.45,"fs-009",7
1033,"r00955","SBSF","BUR",27,0.11,"fs-015",6
1034,"r00956","SBSF","BUR",27,0.08,"fs-015",6
1035,"r00957","SBSF","BUR",27,0.13,"fs-015",6
1036,"r00958","SBSF","BUR",27,0.13,"fs-015",6
1038,"r00962","SBSF","BUR",18.4,0.22,"fs-008",4
1039,"r00963","SBSF","BUR",31,0.44,"fs-008",7
1040,"r00964","SBSF","EIT",23.4,0.52,"fs-008",5
1041,"r00965","SBSF","BUR",15.5,0.16,"fs-008",4
1042,"r00966","SBSF","BUR",11.7,0.21,"fs-008",3
1043,"r00967","SBSF","BUR",8.5,0.18,"fs-008",2
1044,"r00968","SBSF","BUR",40.4,0.35,"fs-008",9
1045,"r00969","SBSF","BUR",20.6,0.22,"fs-008",5
1046,"r00970","SBSF","BUR",18.7,0.24,"fs-008",4
1047,"r00971","SBSF","BUR",10.2,0.21,"fs-008",3
1048,"r00972","SBSF","BUR",34.5,0.3,"fs-008",7
1049,"r00973","SBSF","BUR",27,0.18,"fs-015",6
1050,"r00974","SBSF","BUR",27,0.18,"fs-015",6
1051,"r00975","SBSF","BUR",27,0.15,"fs-015",6
1052,"r00976","SBSF","BUR",27,0.21,"fs-015",6
1053,"r00977","SBSF","BUR",27,0.11,"fs-015",6
1054,"r00978","SBSF","BUR",27,0.1,"fs-015",6
1055,"r00979","SBSF","BUR",27,0.2,"fs-015",6
1056,"r00980","SBSF","BUR",27,0.09,"fs-015",6
1057,"r00981","SBSF","BUR",27,0.15,"fs-015",6
1058,"r00982","SBSF","BUR",27,0.18,"fs-015",6
1059,"r00983","SBSF","BUR",27,0.18,"fs-015",6
